"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"CALCOCO1",15.5773788889002,14.1407537590916,14.8143813909206,21.162356859227,20.5364333666795,20.1192849967053,16.5325490537626,16.556197846222,15.9120209696375,25.6888516494076,19.3167554437743,19.9370933915042
"CALCOCO2",28.6014408524848,27.9460210707553,30.8799161673657,34.8573041742527,37.8887161527272,36.1916701479746,27.7404650965456,27.8738636292538,28.7994429119886,38.3592000670003,36.8749045393437,36.7143455662418
"CALCRL",1.58777691154079,1.79485249373998,1.55940856746533,1.78936040021427,2.26101448792758,1.56979389022254,1.34425161260794,1.29135906673991,0.93368056929278,2.2630062924454,2.06566459947876,1.79487579319742
"CALD1",285.799844077343,283.553145366175,275.344408104197,317.181742752942,335.098401651609,297.670366211097,289.363252973722,301.203411000731,300.868700631683,323.274179105977,293.589559797538,307.729842579811
"CALHM2",3.07899982170411,3.37163879665174,3.42707231687147,3.77597312801121,3.87984734614791,4.1045069606736,3.15986418028619,3.66697244423313,3.44541280499589,4.31463287625578,4.4523446434711,4.68602302894655
"CALM1",193.966260544983,186.194978322559,185.968537999121,208.70705203444,213.699316069036,210.654818644817,181.91041303084,191.998291432273,187.998555191684,190.788838193858,211.186290910223,211.311694431463
"CALM2",200.285183524021,187.6375700465,188.18072224599,230.630239300058,250.383941666063,218.431779201883,183.115002138242,198.077425152115,195.204991134958,211.118592524343,211.82832179925,221.704777617223
"CALM3",137.557267295784,139.226875682634,144.245292490543,153.434131955381,146.805396307866,155.265577343937,134.599739392301,138.017045916004,135.791345894609,143.89984517841,145.447910751136,144.331658843402
"CALML3",16.0172360062865,14.9459212329189,14.7962487331594,9.39766446411745,8.68283078499998,8.91470108300688,17.772053787466,18.0668443016536,17.3717187610671,17.9672752339758,18.0047792792405,15.1650882886321
"CALML3-AS1",0.890442457147878,0.68774721722747,0.870367572538786,1.04261944579414,1.17733298779661,1.10893696832234,1.0998422284974,1.13298484157369,0.959981430399619,2.1759675888898,1.56320564284879,1.42945197901351
"CALML4",12.9382361845824,12.7484850022653,12.6747277750961,12.4268966377085,12.3619963718644,11.4494141534579,13.0409864236121,13.9734797127422,13.1241296923126,13.3666580460374,13.3570339304133,12.3384276083271
"CALML5",21.2955214149221,17.3614236544008,14.0890750804716,34.800946366372,28.7911430652079,39.0864276886602,20.3383523206266,21.6607209496562,18.5552575108748,44.7254595270664,42.2065523569173,35.3816234203946
"CALR",1226.85805439177,1317.18688989195,1305.38816488833,867.093053149499,870.624365691639,867.563155477115,1149.6493694165,1171.38449986015,1180.04073528054,807.69430079488,802.371124965099,865.323591987487
