"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3"
"DNTTIP1",16.113790007664,16.5562561805735,16.9903003222676,14.4698671733862,14.5962532918875,14.4593859246186,16.1800715646412,15.7503104810979,15.7930377802321,15.4595889293827,15.0026615722671,13.7036198477324
"DNTTIP2",65.5279822681836,61.2598253003591,61.161454628611,73.8428177757714,74.2790085028041,74.3131786564063,68.8855893036679,68.3408358185515,68.9426841560133,85.9646838952037,85.8152241933677,80.9828030692894
"DOCK1",118.343021021666,122.519650600718,118.750775678261,114.772675749177,113.987239273035,107.97013573393,114.291516557712,115.382956327437,112.801496243249,108.904215346985,107.449062180577,110.626135088309
"DOCK10",13.4961037480967,14.2581740156915,13.5632280053961,6.12891160703312,6.78304346378273,5.74630974494304,12.3859341374186,12.7225519321747,12.8663559538255,6.51176624601271,6.48114979921938,6.67805950683319
"DOCK11",4.11963739210584,4.10970898099342,4.85955228000822,10.6093573335539,10.9572240568798,10.5277003096576,4.15155617036673,4.08672828770911,3.65835228300831,6.07452534699986,7.12626424682686,7.32773497921742
"DOCK3",1.64141802341717,2.34840513199624,1.94019438045104,2.71926423024688,2.95671125344375,2.80834686782931,1.77334684098447,1.93895867665031,1.61519704570556,2.59221390129043,2.19038858955099,2.7195717448642
"DOCK4",81.7812391667262,82.3115998764682,79.8743574381949,75.0967790011184,78.5602193675191,72.9882150059432,76.5425985317946,74.4261830498848,77.515653090912,65.9140655261862,67.2119238437565,70.3311470685713
"DOCK4-AS1",3.17555382308159,3.00260370448091,2.48417411328779,2.93060600979974,2.90319611763482,2.62112374330735,2.2132468325465,2.75928734754082,2.78863079685917,1.90512105998453,2.77549239086941,2.22098359163909
"DOCK5",186.61742821792,190.891788586552,183.901415014341,185.952587102582,184.453294349453,180.439886702735,174.049181036468,170.747684079175,172.163438948667,169.96178374485,167.534721777506,172.798566922288
"DOCK6",39.0185447788775,40.3757939479639,38.4956324270801,36.8016485461391,34.2898232695762,36.3644914936872,40.1271273552997,40.6137267424522,37.411829007368,33.4645445208758,32.0906931030793,36.7595447514144
"DOCK7",70.6668007859406,72.3308780654842,67.9068033157866,80.9861699246583,81.8514002197687,74.2843750987875,71.167570509896,74.1129666482721,71.3585771730943,81.9982843113015,81.4344470142657,83.5059612992467
"DOCK8",6.8660623201764,6.8271492051605,7.7063795485205,6.39661119446675,5.65922561179506,6.65362180993405,7.34083110919151,6.9802512359411,6.66786472714346,5.94959937585334,6.18109656777404,5.98305783870123
"DOCK9",156.374569342018,153.803761823382,155.832060799965,130.581040859731,136.945232535069,131.272213847508,139.530778573584,135.921003233186,132.984556763091,116.680857050856,117.785896003869,126.777369506419
"DOCK9-AS2",1.18010446128032,1.76130384899718,1.37808198985308,0.958082733972993,1.17733298779661,0.835303170944102,1.12724372837772,1.31252587342482,1.57378173684131,1.10871799392542,0.795141063330155,0.921632646870644
"DOHH",20.7698385185336,22.8298527474777,21.6503933669023,15.4279499073592,13.9139353103235,16.893286543404,22.3524183212461,22.0742987803266,23.0131066255655,18.8325901503389,17.5081060548357,16.1210169542783
"DOK1",2.1992855869315,2.34840513199624,2.12152095806329,2.32475957508153,2.44831746325885,2.10265970616964,1.6083843441487,1.62574227503756,1.57378173684131,1.42103292179174,1.62028744980484,1.79793909799355
"DOK3",3.07899982170411,3.03615234922371,2.95562321507963,3.04332162556127,2.74265071020801,3.34121268377641,2.88684369462587,3.11724894938395,3.29941960618486,3.40423271374285,3.5556307926273,3.24837736192112
"DOK4",14.1397970906133,14.0401078248632,13.5632280053961,14.0471836142805,13.3787839522342,15.193876643897,14.5166997215473,15.0194722106681,13.3081192483774,13.7887040652979,12.6022357207043,14.4741651754439
