"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3"
"BACH2",6.40997259780905,5.97661529965063,5.84589431213514,6.91913385684828,7.15609697576841,7.28796124127673,6.06787224446415,6.94903990550787,6.53041974536368,6.78944245488674,5.98853144583168,6.31899358537115
"BAD",34.9695887273143,35.8596917979038,35.0090429227542,31.11883330293,34.6498747618526,33.1727890982251,35.463062474389,34.7084968519821,37.2187445629891,31.1793042900832,31.7110098118949,31.2840156941837
"BAG1",28.0729951731271,26.9709579953073,28.3388490884865,28.2061197159373,29.4756708146892,28.3846911502357,26.461965680215,26.1690076723263,26.6213374317228,28.312099158312,27.2630063829257,27.2416366694471
"BAG2",3.85940758506828,3.99569748078626,3.92252876049262,5.43399530853975,6.34471795063482,6.26949841808561,3.61302766423488,3.80484403276928,3.4046494401985,5.82129526753543,5.73900930225536,5.74151086755164
"BAG3",146.204427342173,148.433389042598,146.497921967963,140.996060473912,144.664889792671,141.460518104273,136.955149683663,135.958944489276,139.462807444582,140.207572157954,134.763655108915,135.875020240801
"BAG4",29.8013385699185,28.9688067357004,29.4189657036946,33.2371704571065,29.901312270497,32.061738745653,28.1740624130929,28.4935104576194,29.8981672683643,31.1048314295177,30.2789696835439,31.3950700629951
"BAG5",51.1791005846011,52.9429916204179,53.2573288954807,57.1951031627658,53.6574260227691,55.3408889900215,51.476202505423,50.9066109979195,52.3363176745872,53.4591017425908,52.6166259280501,53.2172535344438
"BAG6",151.892858521905,155.61209977079,152.827026344797,146.326441465128,145.689089545709,144.396865464643,153.660681775787,150.994807242567,153.813462934838,147.083899616833,148.237850862036,149.623551099658
"BAHCC1",27.5528141507918,28.647119226654,27.6092966378635,23.5319627344391,23.6364020928261,23.1468823452528,28.8916323673137,28.4568077820622,28.8756104399088,25.5690154608166,23.596115751239,24.387539390993
"BAHD1",31.1605212411817,30.6449679670472,29.1347244891662,30.5547109086112,31.4974677297762,29.8660916203319,30.0120486116235,32.2616518148314,29.7819676287671,30.6828185529799,30.7454676041431,30.6287949181962
"BAIAP2",104.908766181943,108.188588568747,108.125358006623,110.706141709573,114.271429588897,112.33512671899,103.644797071936,103.36696859443,102.825061079579,112.255425159041,111.883559421852,114.841322787914
"BAIAP2-AS1",7.60135493928665,7.36495086500857,6.9354856344942,5.77937636628592,5.7727622443931,6.53403421631707,6.6721416795975,6.3128601958487,7.27409743878588,6.47913886919722,6.16211206744999,5.70819455690821
"BAIAP2L1",71.8688812471627,72.6675152014179,74.1111593347181,77.8949412236863,77.4667449570171,78.3687302260701,74.3251405214031,72.5367211263313,73.0082335589324,77.7620785737942,77.785816062705,76.694147101183
