"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"C2orf42",6.70695669388505,6.65624789157847,6.61253754310529,6.91345110804356,6.94910171181281,6.27015888564952,5.80759341174094,5.69713040835319,5.56240488698221,7.35868053838989,7.21563216027289,7.39933610580312
"C2orf44",11.4222536588753,11.151828928299,11.1746758480384,11.2343580505708,11.5864504637198,10.8188232558194,10.5055473874917,9.88146347663519,9.3282566427652,8.41927328502616,8.12634301545296,7.07366110114629
"C2orf47",10.043412308102,9.74623382379465,10.187921214668,11.2197109083927,11.7387216167675,11.9804821565089,10.4334928786611,9.84927629918686,10.3129059550571,9.58461593256477,9.17716323296843,9.80933114026364
"C2orf49",13.7032998441052,13.8700872295719,13.6992299100379,15.6870892727005,15.393229289912,16.403183513351,14.2667927484455,14.3072003757796,14.7524651350398,15.6993913977393,14.0389581060067,13.4959721929789
"C2orf68",13.8905499040868,12.754904336742,12.8918852100076,13.1970751024306,13.0676334979109,14.0798657119719,12.7824698665365,13.1323683989158,13.7505412734094,16.4195469664429,16.827134416481,16.4009932345178
"C2orf69",18.1462330854859,16.0307540844298,16.2878589482303,18.1185148742582,18.0925815484847,15.8293520081911,21.09756018558,17.4454501769911,18.7601605815611,18.3312326579108,16.1546094772711,15.8017512259493
"C2orf74",6.57077483208028,6.12188942209747,6.75350249072963,6.29827113656511,6.11853178609813,6.38212600860755,5.9372915276359,6.16384448135387,6.25338686052037,6.38974395504318,6.33294317755989,5.91425808456798
"C2orf76",0.970295765359005,0.894469611957316,1.06364460480182,1.18641851642273,1.25969772066726,0.937724654773477,1.03758492715967,0.869053791104723,1.07102205898415,0.929655370508331,1.21895145231794,1.25059201788222
"C2orf81",2.41722804703471,2.18389983179189,1.90943429054785,2.05059990492818,2.11795331057243,2.15536711694202,2.47867510377033,2.44622548607255,2.64300604878347,2.74968489868661,2.97031848151039,3.56939805103883
"C2orf88",2.4682962452115,2.41622960113145,2.02476924769503,3.19307699481673,2.75472358695368,2.98112464875747,2.99746756735016,2.28528959883094,2.52208420341429,2.84134106197617,2.57801226697128,2.29275203278406
"C2orf91",4.61316056863667,5.00670652926757,4.66465826684172,5.4926783167719,5.39870451714541,6.06022053010322,5.38967726052385,4.82807661724846,5.40693394293613,5.48627605976043,5.73047291951769,5.39317807711706
"C3",12.3585039587831,16.5418795769769,18.7098930483212,36.0466169002017,35.6729783094454,39.3144560486373,4.20798331570311,4.21652024573032,4.75050106807487,14.3769238988472,13.9128596799048,14.4339162063906
"C3orf14",6.67291122843386,6.70271384544638,6.04867775260794,9.28628814088902,8.59639873114692,9.37724654773477,6.21109866119192,6.42134190094046,5.82152312705902,7.72530519154811,7.35574152260828,6.89128309853846
"C3orf17",30.0451232606779,27.635626062941,28.3339544724919,32.5313027774677,33.2366398606824,30.9449136075248,31.6319293766039,31.9296800287365,30.5759523290637,32.5379379677916,29.9974144760083,30.9391254423986
