"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3"
"LYN",10.9741415679768,12.1733325791751,11.7012633314212,15.4500459831787,14.5250146794407,15.8324675241529,15.5731576022478,16.6571710392959,15.5599142830341,12.2184844798622,12.7448601280512,12.4521594560823
"LYNX1",6.15827210313068,6.28137188716823,6.53754793415437,3.15448032741502,3.96378605721001,3.74318154497516,4.94985211330704,4.47011247519884,3.96567809096788,6.20412891749273,6.24665841802511,5.52534371725257
"LYPD3",61.7169612951353,66.2168340989621,62.4856936605044,97.6852758325419,94.8648394631604,95.841319699258,116.741003655369,116.120031740651,101.994114842085,54.596334473936,63.1932648015873,57.9275102251902
"LYPD5",5.33605048718136,5.28244751697167,4.86999947558746,7.14938789534573,7.3822189991663,6.90438433384111,8.34763195379747,8.95165746312198,7.67739650123338,5.25526214187619,6.05101363535765,4.76822664812467
"LYPD6",13.5414866136961,13.3246352431305,13.0371970397049,16.7509813006893,15.5625157279722,15.0653137092817,15.740949199309,14.519291159853,15.6282880432232,14.4811667909477,13.8768049420558,13.402583010945
"LYPD6B",5.85623150951665,6.95860874831844,6.53754793415437,6.15929552980671,5.66635188044116,5.99173582994257,6.28169791498076,6.33361204925872,5.99735553658689,6.14573711591633,6.23268379069172,6.07304542683446
"LYPLA1",51.1791005846011,48.6763993951716,47.0798198330624,48.526038613337,44.1070958580819,48.5290921855614,49.9284871005399,50.4631111650324,53.282694547364,51.1512181809283,55.5072197682231,48.8259965218442
"LYPLA2",42.9904444910649,44.1219815039364,42.569859229211,44.8995375070022,46.8471627298445,45.0239928589945,45.8910017962534,45.192722799133,44.8336513239964,45.4580175272291,44.5231626841789,47.4728511217007
"LYPLAL1",3.62448712336847,4.57134881276394,4.14992173211538,5.35340639506564,4.84167155981357,5.71397324179954,4.62475589400086,5.03030559868923,4.56150657261576,3.82466300325434,4.33213447335074,4.30106930759894
"LYRM1",6.0743719382379,6.16285543646694,6.26278142677686,9.71672042459226,9.64343923314516,9.78782453456403,9.66899078065485,10.1635038118971,10.4416499488785,6.83184078443905,6.69384649269357,6.15358979589062
