"","logFC","logCPM","F","PValue","FDR"
"ACRC",-0.119030932657855,-0.0134935040997146,0.534864067664837,0.476492669899832,0.630158699271844
"HNRNPUL2",-0.0194642976341075,6.79264573607394,0.534684977836388,0.476565147761922,0.630194100536507
"IVL",-0.131230834540252,7.13377771823975,0.5344019529921,0.476679726654638,0.630282658832856
"MSRB1",-0.0318629301097129,3.23390696941256,0.53421867389933,0.47675394990167,0.630282658832856
"ATXN7L3B",-0.017211166997217,5.57261992583703,0.534099010261616,0.476802421207964,0.630282658832856
"MRPS31P5",0.0394976473333764,2.05135603856589,0.534068008685077,0.47681498017166,0.630282658832856
"NUMBL",0.0458427976204521,3.88060942990919,0.533139193910508,0.477191512200849,0.630719909760627
"UHMK1",-0.0447621767661191,7.34063156523314,0.532864212011166,0.477303084604459,0.630790271003659
"SPCS1",0.0185593253081475,5.19300173581928,0.532537238935135,0.477435810225044,0.630790271003659
"RBM6",0.0167261843680238,5.72049207097486,0.532458235221069,0.477467889054587,0.630790271003659
"SEC22A",-0.0331291621310197,3.26797450728625,0.53244918810206,0.477471562800585,0.630790271003659
"RPGRIP1L",-0.0349821417149418,3.92475573130016,0.532444395428502,0.477473508971798,0.630790271003659
"NR3C1",-0.0238449491318036,6.54872199853921,0.531314234549064,0.477932815122301,0.631336564347146
"ZNF579",-0.0283564970606663,4.09728247994942,0.530977167403258,0.478069948264302,0.631399917571341
"LDHB",-0.0139271025093348,8.4352446671616,0.5309712209466,0.478072368138625,0.631399917571341
"LOC100996291",0.0738338721190202,0.94057752057936,0.530261266980524,0.478361430419469,0.631678083325245
"RPL24",-0.0168900623162203,8.05136644505332,0.530228893319507,0.478374618698693,0.631678083325245
"AIFM1",0.0220711269111464,5.0356219307424,0.529944177250942,0.478490632262497,0.631722587038326
"CRAMP1",0.0199169258986173,5.35661780338852,0.529822130597368,0.478540377506704,0.631722587038326
"FKBP3",-0.0318905247386455,5.06803755617352,0.529715563336043,0.478583820721932,0.631722587038326
"HAUS7",0.0267716682271699,3.63053851102056,0.52969647656137,0.478591602351151,0.631722587038326
"IVNS1ABP",0.0214631237226992,6.50272451767554,0.529311666121154,0.478748534854491,0.631869237032248
"UBE2E2",-0.0305864625838078,4.03313804017911,0.528946763923684,0.478897429925528,0.63200525187932
"TMED1",-0.0323119835169611,4.00814160856408,0.528797768416904,0.478958249036024,0.63202501717646
"XRCC6BP1",-0.0621081202420495,1.0574226802221,0.528021377572122,0.479275381785658,0.632341058633773
"PCDHB9",0.0559538646365427,1.63092567863631,0.527986883036346,0.479289480142375,0.632341058633773
"FNIP1",0.0294737663413328,5.26766868850217,0.527190162515223,0.479615308123595,0.632695793979489
"GPNMB",0.0620473997603892,4.38038059198516,0.527105053291165,0.479650136989456,0.632695793979489
"TMPO-AS1",0.0680216477143426,1.30604655608887,0.526765736494517,0.479789037252016,0.632818469013063
"PSMB6",-0.0239090947590261,6.01274899496849,0.526374697907731,0.479949195650348,0.632969156345069
"FAM105A",0.0596686206100456,1.2527162656802,0.525633377956889,0.480253071603531,0.633309335073924
"ZNF518A",-0.0425649448093937,4.83793734033421,0.525311318033536,0.480385190849425,0.633422974965667
"OR7D2",-0.0545742309378931,1.35269308896398,0.701821377638271,0.480496596336758,0.633509283130428
