"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNIP1orf_IL17_24h1","fpool2_TNIP1orf_IL17_24h2","fpool2_TNIP1orf_IL17_24h3","fpool_TNIP1orf_IL17_24h1","fpool_TNIP1orf_IL17_24h2","fpool_TNIP1orf_IL17_24h3"
"ELF1",42.3266273131098,42.0754032833116,39.9795781569512,50.3920136112302,50.273918928667,51.7625155439152,39.7053165560563,39.6559137223798,39.5567813816273,51.4348359994303,48.1835849759973,52.3095699279509
"ELF2",17.3485559172279,16.6004692854753,16.4280725161505,19.6602247091846,21.9939018649435,21.333529465268,17.3865299635828,17.3737524003312,16.7674719455951,20.5579979672394,19.1446008754899,20.3642372231139
"ELF3",0.701090611551998,0.715923203686267,0.317517367959212,2.77960285801022,2.94052166816435,3.097290042762,0.143152567065427,0.158335771668304,0.120436749808744,1.18195207951182,1.77789698574536,1.58145211410084
"ELF4",51.0696396454054,48.5634573167184,49.9882777991438,49.4238373348446,46.7182881360397,48.1062024202644,45.8348492004032,48.8106001570199,46.8498956756013,41.8464157588962,47.114270122252,42.3585866253779
"ELFN2",2.73562807252642,2.53556134638886,2.69199507617593,3.76339488078912,3.6006387773441,3.89805283430535,3.16237034517262,3.6705110704925,3.74692110516091,4.05050993540569,4.22572616901795,4.58621113089244
"ELK1",29.7757306788554,29.5765773522889,28.2314355424604,26.5780003614236,26.8247588912135,25.5186482059757,30.6216354822682,29.2633294365147,30.5240251459716,25.2194044830669,26.2433055069804,23.9164219717097
"ELK3",136.368997384232,135.443721097396,133.274463925141,136.091229817748,136.959297493226,142.883277728782,148.995794575643,143.524179936787,145.567884935501,150.174315900222,144.589404862465,153.960445815848
"ELK4",94.4272825637387,96.9628488992588,98.637460611677,93.694478359895,97.682329497031,100.835676806798,94.9622074433112,95.850718503567,96.1352900695571,102.537662987762,80.2759138998501,98.1230211718261
"ELL",34.752099333401,33.8721165744065,35.5343350055223,30.5600156917191,27.5898946313992,29.0087652785514,37.1936396975447,33.8550668148956,32.8658508366971,27.5567479212027,30.237132069162,27.6754119967647
"ELL2",129.688016262383,137.651150975428,127.959499287563,158.171895217896,163.574019122428,157.206355585066,113.637110510483,110.705492718266,117.465976646795,174.211768303777,139.886996168283,159.811818638021
"ELL3",5.23755927453552,5.27993362718622,5.66009221144683,5.65290019438033,5.61099542802789,6.04349276636488,4.81513180129165,5.22508046505403,4.54983277055254,5.71055499089983,5.50117400661788,5.34044213915592
"ELMO2",23.9745495401311,23.4912301209556,23.206378066932,24.2824856416061,22.804045589846,23.569621788823,24.9085466693844,24.844321990863,24.4352783500851,23.1211075329223,24.2592755373805,23.502811418791
"ELMO3",26.119061998996,24.3264738585896,24.793964906728,22.4398275671949,22.188936465383,24.9142989293392,30.7517741796004,28.9610520542389,29.1992208980754,24.0374524035551,27.9181360007985,25.9844747363031
"ELMOD1",5.07259677769975,5.68264042925974,5.34257484348761,4.79403414274796,4.63582242583053,5.40892602589657,4.89321501969097,5.61372281369442,5.24568954722528,5.23246201491752,5.8490234168724,5.51075236682832
"ELMOD2",8.82549358071339,10.2019056525293,10.14675067174,10.5718603082748,11.7170786879406,12.0114418731502,8.57614015419242,9.77363536025259,9.75537673450823,13.028033595518,8.46433564952681,12.1285212135272
"ELMOD3",8.89422795439496,8.82971951213062,9.40127511218363,10.1502351556553,10.0817885765635,10.4854599496431,8.64120950285853,9.24105140100466,9.34053904072256,8.43302888191021,10.1649327663267,9.06293711542406
"ELMSAN1",118.841732095432,115.875153529971,113.312285052575,110.137859312057,112.985044300743,111.638420126675,111.828182617565,117.701054993793,111.18988379565,103.042316684632,109.868880394467,103.645938554917
"ELOF1",35.2607336986446,31.0829990933787,33.9191379598167,33.6987807167756,34.8361801708042,31.4412711170133,31.2593150991961,31.5807893672963,31.4607554222618,29.8409699175626,33.3162435154891,27.3226265251576
"ELOVL1",78.9620484853858,73.1733174434338,72.4629854094741,80.7802560926228,79.2890664094315,81.3454126352713,74.3482377858897,73.0071849001489,71.4056107754951,89.9611616473382,98.1966001837037,90.4225658777812
"ELOVL4",12.358440387946,11.9469684615146,9.40127511218363,12.3208239043262,12.3471904739758,14.1266643413779,9.34395846845244,9.90318280979938,9.74199487341837,19.0440368766287,15.8335898223264,18.7706200927508
"ELOVL5",77.7523235085902,82.405743757638,82.1679727866622,72.4414475185922,76.843632573152,74.5615920050267,78.6818564070522,79.0095500624837,80.6926223718582,76.8268851682686,66.4650039815963,73.5740183544761
"ELOVL6",86.9077420829751,88.6849868566363,90.3405937358732,83.653553428993,87.3604983353112,83.793027205649,81.2976442234295,83.9755356284442,84.064851366503,84.7419799928646,74.1305743186868,77.1991932006457
"ELOVL7",13.1420122479159,12.9761080668136,12.1070752913143,16.4589966985549,16.0528478823258,18.2966743501697,11.1919279705698,10.9107740840522,11.8964745088859,21.1290534663294,15.5372736580355,21.76321409328
"ELP2",38.6149711343052,39.3161159357708,36.6387432419021,39.9606950204952,40.2671436599648,40.6575975857197,37.9094025328718,38.1589209720613,39.0482706602127,41.5276871082413,39.654832769016,41.9328110561969
"ELP3",26.9988619821201,26.041706534088,25.0562618628683,31.8092754031844,30.5154136379912,30.6556170573858,25.8585591599095,25.0746285678351,24.7564430162417,29.4027180229121,29.5929664946166,28.6242832652252
"ELP4",10.25516855329,10.8432535224982,11.0854976726629,11.8211200197401,11.9121132883801,10.6969821964658,11.2960389284355,11.4289638822394,10.9597442325957,11.9257636786699,10.4354823076358,11.3621251890014
"ELP5",19.5343090003018,18.9719648976861,20.3901370641633,19.8163821731178,19.1884041509296,18.1304782990946,18.1933898870425,18.6116502515561,17.6506747775259,18.3136170522113,19.118834252508,17.7487587267164
"ELP6",13.5131778657964,13.0954286007613,14.4125274847573,14.0854032467709,13.0073075831556,12.0869855327298,13.4303135646837,13.0698982431655,12.6860043131877,12.1249690853292,13.6305435573811,11.8730558720186
