"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"DVL3",63.6978850343792,58.271517355725,59.7391310452205,66.1141173348813,61.1389945835791,66.7551730737454,65.1168020585343,64.8394457253587,63.7430382446692,67.9953400720479,65.3447169266037,69.0908152232585
"DXO",7.67646556555244,7.15675296540786,7.29645698017981,9.24050259946564,7.57424801469711,9.92306626771891,6.91257665632781,7.83194234080988,7.40213476638738,8.15163086290883,9.11870567150068,9.06443515479156
"DYDC1",1.48915042391864,1.40619906508813,1.43584896397113,2.43785771581479,1.88657469000758,1.9652826049703,0.890881001054181,1.40071276479869,0.978191379384525,2.18434419829443,1.71200995808807,1.85077695282722
"DYM",29.531321082781,30.2161311303083,30.0942221632316,30.5389122244583,28.8576054434493,30.2685738913049,30.1909672579472,30.6048208394725,30.2071337902475,29.5313573177236,26.4730802992777,28.0968343704793
"DYNC1H1",1025.23811896872,1003.69458960392,1009.35298327157,987.711921615236,985.281100140627,1004.42049987794,856.730562680437,806.644876820682,826.819913392604,924.465717487103,936.829870223247,919.5301115708
"DYNC1I2",105.792601947122,105.94509541603,109.065915181644,98.6529487633314,97.445076395725,94.365782786197,115.154618284411,109.948421322908,114.404591773987,96.2453781673083,97.4944618237523,92.4514093601248
"DYNC1LI1",32.5725437795162,32.6626888533071,34.0501325741725,31.794335958351,32.7705010967984,33.2487155463828,36.9055703584852,33.9183349067382,36.4120791072389,35.5596591834077,33.7896702254225,33.5908730414703
"DYNC1LI2",100.014278823325,103.384212565788,102.423892763274,90.901437104064,92.9172971397068,90.8862660429709,106.641755385449,97.4323750051906,103.702886086094,92.5966691433417,93.6739764435979,92.1016562351811
"DYNC2H1",91.0269414057312,97.9652015344728,97.9209922708201,88.5949609417962,92.2185657730373,86.5368701139382,98.4918440054344,92.6428410352338,98.9579279025121,96.7334997758658,97.8548849728235,95.2931535002926
"DYNC2LI1",4.6771907680825,4.88168293327341,5.13779969420961,4.89031338202368,5.3243330140214,4.88098876480329,4.32242263474436,4.92508681816314,5.0223557389295,4.66156136172332,4.55935283575034,4.82367851484888
"DYNLL1",143.199641116965,144.678448525937,146.251473044488,125.892724198723,129.936084945856,127.711151575447,142.65644474288,143.701080526283,144.582525821566,144.130107966791,135.248786688958,137.161517165431
